ISO_SOV1;code_spygen;station;GEONAME;TERRITORY1;ISO_TER1;SOVEREIGN1;NoViolence_mean;Corruption_mean;bathy;distCoast;HDI2019;neartt;Gravity;NGO;MarineEcosystemDependency;conflicts;Naturalresourcesrents
ATA;SPY193691;Transect_24;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-154.051406860352;215.13078951938;NA;NA;NA;0;NA;0;NA
ATA;SPY193692;Transect_6;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-309.468292236328;3107.95304100894;NA;NA;NA;0;NA;0;NA
ATA;SPY193693;Niskin_4;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-261.925811767578;1932.11112820915;NA;NA;NA;0;NA;0;NA
ATA;SPY193694;Transect_14;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-166.432403564453;65.2942020646484;NA;NA;NA;0;NA;0;NA
ATA;SPY193695;Transect_6;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-309.468292236328;3107.95304100894;NA;NA;NA;0;NA;0;NA
ATA;SPY193696;Transect_14;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-166.432403564453;65.2942020646484;NA;NA;NA;0;NA;0;NA
ATA;SPY193697;Transect_10;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-330.854797363281;333.144811646859;NA;NA;NA;0;NA;0;NA
ATA;SPY193698;Transect_13;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-267.289794921875;790.67179080913;NA;NA;NA;0;NA;0;NA
ATA;SPY193699;Transect_8;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-237.797302246094;1243.45652391691;NA;NA;NA;0;NA;0;NA
ATA;SPY193700;Niskin_14;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-238.264694213867;2294.52660694671;NA;NA;NA;0;NA;0;NA
ATA;SPY193701;Transect_23;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-194.96760559082;1366.75478180036;NA;NA;NA;0;NA;0;NA
ATA;SPY193702;Transect_24;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-154.051406860352;215.13078951938;NA;NA;NA;0;NA;0;NA
ATA;SPY193703;Niskin_7;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-43.4850082397461;1793.50426884644;NA;NA;NA;0;NA;0;NA
ATA;SPY193704;Transect_11;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-232.912292480469;240.095766881136;NA;NA;NA;0;NA;0;NA
ATA;SPY193705;Transect_9;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-311.808502197266;357.018526149267;NA;NA;NA;0;NA;0;NA
ATA;SPY193706;Transect_11;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-232.912292480469;240.095766881136;NA;NA;NA;0;NA;0;NA
ATA;SPY193707;Transect_10;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-330.854797363281;333.144811646859;NA;NA;NA;0;NA;0;NA
ATA;SPY193708;Transect_25;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-528.651123046875;678.948614303553;NA;NA;NA;0;NA;0;NA
ATA;SPY193709;Transect_15;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-129.666595458984;279.768678347531;NA;NA;NA;0;NA;0;NA
ATA;SPY193710;Niskin_5;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-245.417205810547;481.61374743083;NA;NA;NA;0;NA;0;NA
ATA;SPY193711;Transect_12;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-212.223693847656;0;NA;NA;NA;0;NA;0;NA
ATA;SPY193712;Niskin_20;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-316.101287841797;1783.84715386042;NA;NA;NA;0;NA;0;NA
ATA;SPY193713;Transect_Drake_1;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-256.381195068359;19782.0406995221;NA;NA;NA;0;NA;0;NA
ATA;SPY193714;Transect_28;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-169.676406860352;113.201553007027;NA;NA;NA;0;NA;0;NA
ATA;SPY193715;Transect_Drake_2;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-408.027008056641;36766.2678059701;NA;NA;NA;0;NA;0;NA
ATA;SPY193716;Transect_26;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-458.622711181641;1028.95830415469;NA;NA;NA;0;NA;0;NA
ATA;SPY193717;Transect_Drake_10;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-2489.2529296875;399008.009975207;NA;NA;NA;0;NA;0;NA
ATA;SPY193718;Niskin_18;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-218.295700073242;3111.76263722743;NA;NA;NA;0;NA;0;NA
ATA;SPY193719;Transect_Drake_1;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-256.381195068359;19782.0406995221;NA;NA;NA;0;NA;0;NA
ARG;SPY193720;Transect_Drake_11;Argentinean Exclusive Economic Zone;Argentina;ARG;Argentina;0.08;-0.37;-3484.76000976562;389244.014386222;0.845;NA;NA;213;0.05676;3.5;2.6682659097526
ATA;SPY193721;Transect_Drake_4;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4435.4248046875;92355.8663333163;NA;NA;NA;0;NA;0;NA
ATA;SPY193722;Niskin_19;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-305.971984863281;1310.57516179558;NA;NA;NA;0;NA;0;NA
ATA;SPY193723;Transect_27;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-266.724212646484;108.049269165788;NA;NA;NA;0;NA;0;NA
ATA;SPY193724;Transect_Drake_3;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-1974.39904785156;64113.5426423045;NA;NA;NA;0;NA;0;NA
ATA;SPY193725;Transect_Drake_5;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4496.52099609375;126388.952455251;NA;NA;NA;0;NA;0;NA
ATA;SPY193726;Niskin_21;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-269.942199707031;3709.93082587649;NA;NA;NA;0;NA;0;NA
ATA;SPY193727;Transect_Drake_8;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4019.01489257812;299780.440131199;NA;NA;NA;0;NA;0;NA
