"code_spygen","station","latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
"SPY173254","riviere_salee","16.2552","-61.54755","2018-02-25",27.8622950819672,28.01,29.29,26.225,25.77,29.68,27.7505208333333,27.69,29.3245,26.35,25.77,29.91
"SPY173255","sec_nord","16.24518","-61.87116","2018-02-26",27.988306010929,28.06,29.29,26.4,26.08,29.68,27.8999653078925,27.85,29.444,26.55,26.08,30.19
"SPY173256","sec_nord","16.24518","-61.87116","2018-02-26",27.988306010929,28.06,29.29,26.4,26.08,29.68,27.8999653078925,27.85,29.444,26.55,26.08,30.19
"SPY173257","sec_sud_1","16.15732","-61.87493","2018-02-26",28.0011202185792,28.08,29.3,26.4325,26.11,29.67,27.9077970511709,27.85,29.434,26.566,26.09,30.21
"SPY173258","sec_sud_1","16.15732","-61.87493","2018-02-26",28.0011202185792,28.08,29.3,26.4325,26.11,29.67,27.9077970511709,27.85,29.434,26.566,26.09,30.21
"SPY173269","sec_sud_2","16.14098","-61.8644","2018-02-28",28.0058196721311,28.095,29.3075,26.4225,26.15,29.66,27.9111341991342,27.86,29.43,26.577,26.11,30.23
"SPY173270","sec_sud_2","16.14098","-61.8644","2018-02-28",28.0058196721311,28.095,29.3075,26.4225,26.15,29.66,27.9111341991342,27.86,29.43,26.577,26.11,30.23
"SPY173278","st_rose","16.32673","-61.67195","2018-03-01",27.8742349726776,28.01,29.2725,26.22,25.92,29.62,27.7852422145329,27.74,29.34,26.3775,25.92,29.99
"SPY173279","st_rose","16.32673","-61.67195","2018-03-01",27.8742349726776,28.01,29.2725,26.22,25.92,29.62,27.7852422145329,27.74,29.34,26.3775,25.92,29.99
"SPY181920","lagon_faka","-16.500305","-145.447768","2018-06-18",27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
"SPY181919","lagon_faka","-16.500305","-145.447768","2018-06-18",27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
"SPY181941","lagon_faka","-16.500979","-145.449233","2018-06-18",27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
"SPY181911","lagon_faka","-16.500383","-145.447721","2018-06-18",27.8714207650273,27.955,28.8475,26.4925,26.25,29.07,28.0690276679842,28.26,29.418,26.502,26.03,30.04
"SPY181533","lagon_faka","-16.500328","-145.44823","2018-06-19",27.8696994535519,27.95,28.8475,26.4925,26.25,29.07,28.0686650868878,28.26,29.4175,26.5025,26.03,30.04
"SPY181914","lagon_faka","-16.499774","-145.447065","2018-06-19",27.8805191256831,27.94,28.87,26.51,26.22,29.08,28.0826382306477,28.28,29.4375,26.51,26.04,30.03
"SPY181832","lagon_faka","-16.500438","-145.447461","2018-06-19",27.8696994535519,27.95,28.8475,26.4925,26.25,29.07,28.0686650868878,28.26,29.4175,26.5025,26.03,30.04
"SPY181921","lagon_faka","-16.499381","-145.446963","2018-06-20",27.8783879781421,27.935,28.87,26.51,26.22,29.08,28.0822099447514,28.28,29.437,26.51,26.04,30.03
"SPY181916","lagon_faka","-16.500378","-145.447254","2018-06-20",27.8674863387978,27.945,28.8475,26.4925,26.25,29.07,28.0682478295185,28.26,29.417,26.503,26.03,30.04
"SPY181906","passe_faka_1","-16.515778","-145.463558","2018-06-21",27.8596721311475,27.92,28.89,26.4425,26.21,29.13,28.0646372239748,28.25,29.44,26.4735,26.04,30.06
"SPY181900","passe_faka_1","-16.516914","-145.462426","2018-06-21",27.8596721311475,27.92,28.89,26.4425,26.21,29.13,28.0646372239748,28.25,29.44,26.4735,26.04,30.06
"SPY181912","passe_faka_l","-16.5209","-145.459671","2018-06-22",27.8582240437158,27.92,28.89,26.4425,26.21,29.13,28.064231678487,28.25,29.44,26.474,26.04,30.06
"SPY181899","passe_faka_l","-16.5209","-145.459671","2018-06-22",27.8582240437158,27.92,28.89,26.4425,26.21,29.13,28.064231678487,28.25,29.44,26.474,26.04,30.06
