"latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
11.328421,-74.114296,2018-10-25,26.8929781420765,27.02,29.0375,24.135,22.68,29.92,26.9887517934003,27.08,29.13,24.6395,22.44,30.37
-22.33944,40.33886,2019-04-07,26.4110382513661,26.575,28.6075,23.98,23.23,29.25,26.6394544287548,26.805,29.15,23.8685,23.23,30.2
-22.33281,40.35581,2019-04-08,26.4030327868852,26.57,28.59,23.9375,23.2,29.26,26.6397754971135,26.81,29.131,23.859,23.2,30.18
-22.33078,40.36129,2019-04-08,26.4030327868852,26.57,28.59,23.9375,23.2,29.26,26.6397754971135,26.81,29.131,23.859,23.2,30.18
-22.32652,40.36433,2019-04-08,26.4030327868852,26.57,28.59,23.9375,23.2,29.26,26.6397754971135,26.81,29.131,23.859,23.2,30.18
-22.32454,40.36156,2019-04-08,26.4030327868852,26.57,28.59,23.9375,23.2,29.26,26.6397754971135,26.81,29.131,23.859,23.2,30.18
-22.33752,40.39666,2019-04-09,26.4010382513661,26.57,28.56,23.9375,23.2,29.26,26.6405897435897,26.81,29.1305,23.8595,23.2,30.18
-22.33644,40.41177,2019-04-09,26.403306010929,26.56,28.5825,23.8925,23.19,29.28,26.646217948718,26.8,29.1305,23.86,23.19,30.16
-22.33879,40.33888,2019-04-10,26.4039890710383,26.575,28.6,23.98,23.23,29.25,26.6417168481742,26.81,29.15,23.87,23.23,30.2
-18.6225,41.77472,2019-04-11,27.4831693989071,27.46,29.6375,25.1525,24.65,30.14,27.6881498079385,27.85,29.9995,25.2405,24.65,30.79
-18.12441,42.04219,2019-04-11,27.5581693989071,27.64,29.655,25.36,24.98,30.31,27.7496606914213,27.92,30.05,25.36,24.66,31.12
-17.038661,42.66956,2019-04-13,27.7718579234973,27.905,29.7,25.9125,25.55,30.2,27.8870716112532,28.06,29.9485,25.72,25.02,30.85
-17.05547,42.67851,2019-04-13,27.7717759562842,27.875,29.7475,25.9125,25.54,30.32,27.8906138107417,28.045,29.95,25.73,25.02,30.91
-17.03868,42.66977,2019-04-13,27.7718579234973,27.905,29.7,25.9125,25.55,30.2,27.8870716112532,28.06,29.9485,25.72,25.02,30.85
-17.05712,42.67116,2019-04-13,27.7717759562842,27.875,29.7475,25.9125,25.54,30.32,27.8906138107417,28.045,29.95,25.73,25.02,30.91
-17.023831,42.654805,2019-04-14,27.770737704918,27.905,29.7,25.9125,25.55,30.2,27.8878530351438,28.06,29.948,25.72,25.02,30.85
-17.02874,42.74781,2019-04-15,27.767131147541,27.875,29.715,25.9125,25.56,30.21,27.8925415070243,28.065,29.9575,25.72,25.02,30.9
-15.52306,42.53472,2019-04-16,27.9090710382514,28.13,29.77,25.91,25.76,30.44,28.021774090619,28.27,29.93,25.833,24.98,31.25
-11.58652,47.28334,2019-04-19,27.6853825136612,27.72,29.955,25.415,25.13,30.76,27.6764713375796,27.95,29.7,25.42,25.01,30.86
-11.56444,47.29144,2019-04-20,27.6880327868852,27.72,29.955,25.415,25.13,30.76,27.6777021005729,27.95,29.7,25.42,25.01,30.86
-11.56593,47.28871,2019-04-20,27.6880327868852,27.72,29.955,25.415,25.13,30.76,27.6777021005729,27.95,29.7,25.42,25.01,30.86
-11.56503,47.28774,2019-04-20,27.6880327868852,27.72,29.955,25.415,25.13,30.76,27.6777021005729,27.95,29.7,25.42,25.01,30.86
-11.56269,47.28501,2019-04-20,27.6880327868852,27.72,29.955,25.415,25.13,30.76,27.6777021005729,27.95,29.7,25.42,25.01,30.86
-11.5581,47.2857,2019-04-21,27.6898907103825,27.72,29.955,25.415,25.13,30.76,27.6788676844784,27.955,29.7,25.42,25.01,30.86
-15.89453623,54.51575373,2019-04-26,27.2328961748634,27.385,29.57,24.75,24.52,29.83,27.2121306277743,27.42,29.6,24.65,23.71,30.44
-15.89278,54.51736,2019-04-27,27.2342896174863,27.385,29.57,24.75,24.52,29.83,27.213288973384,27.42,29.6,24.65,23.71,30.44
-15.89311,54.51689,2019-04-27,27.2342896174863,27.385,29.57,24.75,24.52,29.83,27.213288973384,27.42,29.6,24.65,23.71,30.44
-15.89239,54.5139,2019-04-27,27.2342896174863,27.385,29.57,24.75,24.52,29.83,27.213288973384,27.42,29.6,24.65,23.71,30.44
-15.93020533,54.50882665,2019-04-27,27.2234426229508,27.39,29.555,24.725,24.53,29.83,27.2024144486692,27.405,29.6015,24.63,23.65,30.41
46.8961393,-4.7780248,2019-10-22,14.7289344262295,13.66,19.6225,11.505,11.26,21.25,14.8340774487472,14.05,19.5725,11.27,10.61,22.03
46.3147228,-4.2150256,2019-10-23,15.1727868852459,14.345,20.255,11.7225,11.3,22.11,15.3561297666477,14.48,20.554,11.59,10.92,22.29
46.0509606,-3.8861062,2019-10-23,15.382349726776,14.685,20.51,11.845,11.3,22.11,15.6186681844052,14.89,20.99,11.648,11.04,22.55
45.8907485,-3.2114348,2019-10-24,15.6456010928962,14.615,21.255,11.92,11.53,22.55,15.9036177474403,15.105,21.63,11.6485,10.83,23.43
45.2438012,-3.2297848,2019-10-24,15.9544535519126,14.76,21.71,12.28,12.05,22.69,16.2859271899886,15.225,22.0415,12.03,11.04,24.27
44.8782105,-1.8595568,2019-10-25,16.1320765027322,14.38,22.1375,11.79,11.37,23.41,16.4452302444571,15.5,22.28,11.669,10.79,23.64
44.2505771,-1.8937318,2019-10-27,16.4624316939891,14.555,22.3925,12.55,11.95,23.45,16.7007552526973,15.66,22.46,12.06,11.45,24.57
43.8334093,-1.9882645,2019-10-28,16.5514207650273,14.9,22.6075,12.4575,11.86,23.54,16.805896708286,15.72,22.6,12.05,11.22,24.53
44.0949793,-1.3818145,2019-10-28,16.2070491803279,14.675,22.145,11.5025,10.81,23.2,16.3525141884222,15.71,22.09,11.39,10.25,24.14
44.5427539,-1.3295563,2019-10-29,16.0837704918033,14.835,22.1575,11.105,9.89,23.2,16.1924560408395,15.61,22.148,10.971,9.89,24.05
45.5494714,-1.4159793,2019-10-30,15.0634153005464,13.825,20.795,10.0375,9.4,22.12,15.1953741496599,14.84,20.86,9.8,8.39,22.21
45.7357645,-1.9193916,2019-10-30,15.5202732240437,14.1,21.385,11.26,10.7,23,15.716746031746,15.125,21.3385,10.46,8.79,23
45.8661842,-2.395217,2019-10-31,15.5939344262295,14.5,21.2,11.615,11.26,23.12,15.774566572238,15.13,21.314,10.89,9.65,23.14
46.6230167,-2.5939192,2019-10-31,14.7229234972678,14.03,20.31,10.16,9.43,22.17,14.8564759206799,14.5,20.306,9.8,8.54,22.27
46.5962065,-1.9759778,2019-11-01,14.341174863388,13.475,20.2675,9.14,8.3,21.87,14.4534314835787,14.45,19.9375,8.98,7.62,21.87
40.022395,3.790081,2018-03-12,19.9914480874317,19.225,26.3575,14.0375,13.5,27.31,19.5114395886889,18.46,26.451,13.84,13.14,28.03
40.022518,3.79002,2018-03-12,19.9914480874317,19.225,26.3575,14.0375,13.5,27.31,19.5114395886889,18.46,26.451,13.84,13.14,28.03
39.918649,3.830327,2018-03-12,20.0262021857924,19.29,26.3075,14.05,13.48,27.33,19.547557840617,18.45,26.44,13.87,13.1,28.04
39.918309,3.830632,2018-03-12,20.0262021857924,19.29,26.3075,14.05,13.48,27.33,19.547557840617,18.45,26.44,13.87,13.1,28.04
40.086845,4.070965,2018-03-13,19.8203551912568,19.02,26,13.83,13.43,27.42,19.3755308219178,18.28,26.2565,13.7135,13,27.74
40.088462,4.070868,2018-03-13,19.8203551912568,19.02,26,13.83,13.43,27.42,19.3755308219178,18.28,26.2565,13.7135,13,27.74
40.07145,4.096724,2018-03-13,19.8203551912568,19.02,26,13.83,13.43,27.42,19.3755308219178,18.28,26.2565,13.7135,13,27.74
