"code_spygen","station","latitude_start","longitude_start","date","mean_npp_1year","median_npp_1year","q95_npp_1year","q05_npp_1year","min_npp_1year","max_npp_1year","mean_npp_5year","median_npp_5year","q95_npp_5year","q05_npp_5year","min_npp_5year","max_npp_5year"
"SPY180768","camera4","4.00226","-81.60371","2018-03-27",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180769","camera4","4.00202","-81.60332","2018-03-27",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180780","camera5","4.0023","-81.60392","2018-03-27",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180773","camera5","4.0023","-81.60392","2018-03-27",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY173261","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",379.870814005534,362.196960449219,508.25329284668,282.784219360352,266.464721679688,515.719482421875,302.741172790527,296.899108886719,354.969390869141,262.448754882813,257.658477783203,381.321990966797
"SPY173262","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",379.870814005534,362.196960449219,508.25329284668,282.784219360352,266.464721679688,515.719482421875,302.741172790527,296.899108886719,354.969390869141,262.448754882813,257.658477783203,381.321990966797
"SPY173263","anse_bertrand_large","16.50096","-61.51445","2018-02-27",333.744162241618,294.214813232422,475.517790222168,248.784035491943,243.511627197266,514.153259277344,278.78679784139,276.743942260742,353.305104064941,228.806174468994,228.532592773438,377.775085449219
"SPY173264","anse_bertrand_large","16.50096","-61.51445","2018-02-27",333.744162241618,294.214813232422,475.517790222168,248.784035491943,243.511627197266,514.153259277344,278.78679784139,276.743942260742,353.305104064941,228.806174468994,228.532592773438,377.775085449219
"SPY173265","anse_colas","16.47047","-61.52166","2018-02-27",379.870814005534,362.196960449219,508.25329284668,282.784219360352,266.464721679688,515.719482421875,302.741172790527,296.899108886719,354.969390869141,262.448754882813,257.658477783203,381.321990966797
"SPY173266","anse_colas","16.47047","-61.52166","2018-02-27",379.870814005534,362.196960449219,508.25329284668,282.784219360352,266.464721679688,515.719482421875,302.741172790527,296.899108886719,354.969390869141,262.448754882813,257.658477783203,381.321990966797
"SPY173267","bouillante_large","16.07855","-61.85716","2018-02-28",320.639595031738,292.99739074707,475.439907836914,235.97018737793,227.541900634766,501.056365966797,281.630132039388,266.641357421875,387.22622833252,226.488168334961,223.863616943359,388.428161621094
"SPY173268","bouillante_large","16.07855","-61.85716","2018-02-28",320.639595031738,292.99739074707,475.439907836914,235.97018737793,227.541900634766,501.056365966797,281.630132039388,266.641357421875,387.22622833252,226.488168334961,223.863616943359,388.428161621094
"SPY173281","chateau_petite_terre","16.20771","-61.14683","2018-03-02",396.632642110189,389.577056884766,497.771524047852,307.525535583496,285.965881347656,498.130950927734,374.820276896159,345.75732421875,499.927833557129,304.076770019531,288.712554931641,528.314147949219
