"code_spygen","station","latitude_start","longitude_start","X","pH_mean","pH_min","pH_max"
"SPY180581","control_lab",NA,NA,NA,NA,NA,NA
"SPY180582","malpelo_20m","3.9982","-81.56845",11,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180583","malpelo_100m","3.99737","-81.56515",12,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180584","malpelo_50m","4.00307","-81.5703",13,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180585","malpelo_100m","4.00307","-81.5703",13,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180586","malpelo_300m","4.00307","-81.5703",13,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180587","malpelo_200m","4.00307","-81.5703",13,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180588","malpelo_10m","4.00307","-81.5703",13,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180589","malpelo1","4.01142","-81.59661",14,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180590","malpelo1","4.01142","-81.59661",14,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180591","malpelo_600m","3.98735","-81.57326",15,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180592","malpelo2","4.00685","-81.60143",16,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180593","malpelo6","3.98944","-81.60462",17,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180594","malpelo2","4.00685","-81.60143",16,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180595","malpelo5","4.00885","-81.60547",18,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180596","malpelo3","4.00515","-81.59995",19,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180597","malpelo3","4.00515","-81.59995",19,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180598","malpelo5","4.00885","-81.60547",18,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180599","malpelo4","3.99871","-81.62184",20,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180600","bois_flottant","4.02167","-81.585",21,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180602","malpelo6","3.98944","-81.60462",17,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180604","malpelo4","3.99871","-81.62184",20,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180782","camera1","4.00594","-81.60334",22,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180778","camera1","4.00594","-81.60334",22,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180781","camera2","4.00276","-81.60248",23,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180776","camera2","4.00276","-81.60248",23,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180605","camera3","4.00286","-81.60259",24,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180601","camera3","4.00286","-81.60259",24,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180603","bruv1","3.99357","-81.61842",25,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180775","bruv1","3.99357","-81.61842",25,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180779","bruv2","3.9929","-81.6205",26,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180777","bruv2","3.9929","-81.6205",26,8.05579376220703,8.01247596740723,8.07292079925537
"SPY180768","camera4","4.00226","-81.60371",27,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180769","camera4","4.00202","-81.60332",28,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180780","camera5","4.0023","-81.60392",29,8.05508995056152,8.01182842254639,8.07319450378418
"SPY180773","camera5","4.0023","-81.60392",29,8.05508995056152,8.01182842254639,8.07319450378418
"SPY173261","anse_bertrand_cote","16.48538","-61.50429",30,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173262","anse_bertrand_cote","16.48538","-61.50429",30,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173263","anse_bertrand_large","16.50096","-61.51445",31,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173264","anse_bertrand_large","16.50096","-61.51445",31,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173265","anse_colas","16.47047","-61.52166",32,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173266","anse_colas","16.47047","-61.52166",32,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173267","bouillante_large","16.07855","-61.85716",33,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173268","bouillante_large","16.07855","-61.85716",33,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173281","chateau_petite_terre","16.20771","-61.14683",34,8.07673645019531,8.06395053863525,8.09226703643799
"SPY173275","fajou","16.359","-61.57521",35,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173276","fajou","16.359","-61.57521",35,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173273","jardin_eden","16.37651","-61.52821",36,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173274","jardin_eden","16.37651","-61.52821",36,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173251","petit_cul_de_sac_marin_cote","16.20352","-61.53646",37,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173252","petit_cul_de_sac_marin_cote","16.20352","-61.53646",37,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173250","petit_cul_de_sac_marin_Large","16.15962","-61.50619",38,8.07632827758789,8.06336879730225,8.09198188781738
"SPY180501","petit_cul_de_sac_marin_Large","16.15962","-61.50619",38,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173282","petite_terre1","16.18316","-61.11949",39,8.07673645019531,8.06395053863525,8.09226703643799
"SPY173283","petite_terre2","16.17763","-61.09994",40,8.07673645019531,8.06395053863525,8.09226703643799
"SPY173280","pointe_chateau","16.24619","-61.213",41,8.07673645019531,8.06395053863525,8.09226703643799
"SPY173259","pointe_ferry","16.2617","-61.82218",42,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173260","pointe_ferry","16.2617","-61.82218",42,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173271","pointe_ferry","16.26194","-61.82252",43,8.07632827758789,8.06336879730225,8.09198188781738
"SPY173272","pointe_ferry","16.26194","-61.82252",43,8.07632827758789,8.06336879730225,8.09198188781738
