;station;longitude_start;latitude_start;Voice_mean
115;mallorca_4;3.474012;39.689585;1.03
114;mallorca_3;3.468065;39.746475;1.03
113;mallorca_2;3.323661;39.786777;1.03
112;mallorca_1;3.405029;39.771142;1.03
19;banyuls19_3;3.166933;42.359825;1.03
18;banyuls19_2;3.169849;42.423661;1.03
13;banyuls18_2;3.171352;42.401302;1.03
12;banyuls18_1;3.203946;42.349021;1.03
111;LENG058;130.602581;-0.95288;0.13
110;LENG057;130.60258;-0.95288;0.13
109;LENG056;131.59814;-2.67144;0.13
108;LENG055;131.60634;-2.65144;0.13
107;LENG054;131.93817;-3.00112;0.13
106;LENG047;132.801881;-3.93609;0.13
105;LENG045;132.80188;-3.93609;0.13
104;LENG039;134.287191;-4.03521;0.13
103;LENG037;134.28719;-4.03521;0.13
102;LENG035;134.489011;-4.03573;0.13
101;LENG033;134.48901;-4.03573;0.13
100;LENG032;134.201711;-4.01173;0.13
99;LENG030;134.20171;-4.01173;0.13
98;LENG029;134.09264;-3.8319;0.13
97;LENG027;134.16254;-3.77903;0.13
96;LENG025;134.120331;-3.79458;0.13
95;LENG022;134.079671;-3.90956;0.13
94;LENG020;134.0777;-3.90981;0.13
93;LENG019;134.03543;-3.90622;0.13
92;LENG016;133.50023;-4.33406;0.13
91;LENG015;133.49443;-4.32225;0.13
90;LENG014;133.49826;-4.32135;0.13
89;LENG013;133.50134;-4.32327;0.13
88;LENG012;132.91273;-4.08471;0.13
87;LENG011;132.9769;-4.12602;0.13
86;LENG009;132.975141;-4.13307;0.13
85;LENG007;132.97571;-4.12453;0.13
84;LENG006;133.020321;-4.117461;0.13
83;LENG005;133.05912;-4.06037;0.13
82;LENG004;133.02032;-4.11746;0.13
81;LENG003;133.01915;-4.11785;0.13
80;LENG002;132.97463;-4.11588;0.13
194;tayrona_saturation_2;-74.112103;11.340723;0.03
193;tayrona_saturation_1;-74.116304;11.330775;0.03
192;tayrona_camera_2;-74.114845;11.328275;0.03
191;tayrona_camera_1;-74.110443;11.337649;0.03
160;providencia_west;-81.39777;13.34393;0.03
159;providencia_south_east;-81.35561;13.34072;0.03
158;providencia_north_west;-81.38864;13.36786;0.03
157;providencia_north;-81.35909;13.38322;0.03
156;providencia_east;-81.34969;13.36264;0.03
145;patch3;-81.36716;13.32225;0.03
144;patch2;-81.41335;13.36726;0.03
143;patch1;-81.41025;13.36541;0.03
122;margarita_south_west;-81.39829;13.34043;0.03
121;malpelo6;-81.60462;3.98944;0.03
120;malpelo5;-81.60547;4.00885;0.03
119;malpelo4;-81.62184;3.99871;0.03
118;malpelo3;-81.59995;4.00515;0.03
117;malpelo2;-81.60143;4.00685;0.03
116;malpelo1;-81.59661;4.01142;0.03
42;catalina_north;-81.38029;13.39172;0.03
35;camera5;-81.60392;4.0023;0.03
34;camera4;-81.60371;4.00226;0.03
33;camera3;-81.60259;4.00286;0.03
32;camera2;-81.60248;4.00276;0.03
31;camera1;-81.60334;4.00594;0.03
26;bruv2;-81.6205;3.9929;0.03
25;bruv1;-81.61842;3.99357;0.03
