code_spygen;date;mean_DHW_1year;median_DHW_1year;q95_DHW_1year;q05_DHW_1year;min_DHW_1year;max_DHW_1year;mean_DHW_5year;median_DHW_5year;q95_DHW_5year;q05_DHW_5year;min_DHW_5year;max_DHW_5year;mean_SST_1year;median_SST_1year;q95_SST_1year;q05_SST_1year;min_SST_1year;max_SST_1year;mean_SST_5year;median_SST_5year;q95_SST_5year;q05_SST_5year;min_SST_5year;max_SST_5year;mean_sss_1year;median_sss_1year;q95_sss_1year;q05_sss_1year;min_sss_1year;max_sss_1year;mean_sss_5year;median_sss_5year;q95_sss_5year;q05_sss_5year;min_sss_5year;max_sss_5year;mean_npp_1year;median_npp_1year;q95_npp_1year;q05_npp_1year;min_npp_1year;max_npp_1year;mean_npp_5year;median_npp_5year;q95_npp_5year;q05_npp_5year;min_npp_5year;max_npp_5year;pH_mean;pH_min;pH_max
SPY190571;21/04/2019;0.538633867742016;0;3.41999992355704;0;0;6.7199998497963;0.492119375637733;0;3.78249991545453;0;0;6.7199998497963;27.6898907103825;27.72;29.955;25.415;25.13;30.76;27.5929353778751;27.78;29.5975;25.44;25.01;30.86;34.9629185994466;34.954174041748;35.1561645507812;34.7513048171997;34.7492256164551;35.1571464538574;34.9869664265559;34.9906883239746;35.2193216323853;34.7280550003052;34.6212196350098;35.2345581054688;395.895200093587;374.406280517578;590.722055053711;263.852001953125;257.926208496094;615.353454589844;387.998402404785;377.900131225586;563.357348632812;248.58337097168;221.111587524414;615.353454589844;8.07619330821893;8.06316671615992;8.08858746748704
SPY190568;21/04/2019;0.538633867742016;0;3.41999992355704;0;0;6.7199998497963;0.492119375637733;0;3.78249991545453;0;0;6.7199998497963;27.6898907103825;27.72;29.955;25.415;25.13;30.76;27.5929353778751;27.78;29.5975;25.44;25.01;30.86;34.9629185994466;34.954174041748;35.1561645507812;34.7513048171997;34.7492256164551;35.1571464538574;34.9869664265559;34.9906883239746;35.2193216323853;34.7280550003052;34.6212196350098;35.2345581054688;395.895200093587;374.406280517578;590.722055053711;263.852001953125;257.926208496094;615.353454589844;387.998402404785;377.900131225586;563.357348632812;248.58337097168;221.111587524414;615.353454589844;8.07619330821893;8.06316671615992;8.08858746748704
SPY190559;21/04/2019;0.538633867742016;0;3.41999992355704;0;0;6.7199998497963;0.492119375637733;0;3.78249991545453;0;0;6.7199998497963;27.6898907103825;27.72;29.955;25.415;25.13;30.76;27.5929353778751;27.78;29.5975;25.44;25.01;30.86;34.9629185994466;34.954174041748;35.1561645507812;34.7513048171997;34.7492256164551;35.1571464538574;34.9869664265559;34.9906883239746;35.2193216323853;34.7280550003052;34.6212196350098;35.2345581054688;395.895200093587;374.406280517578;590.722055053711;263.852001953125;257.926208496094;615.353454589844;387.998402404785;377.900131225586;563.357348632812;248.58337097168;221.111587524414;615.353454589844;8.07619330821893;8.06316671615992;8.08858746748704
SPY190560;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190577;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190569;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190587;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190562;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190583;26/04/2019;0.690874301497646;0;4.52999989874661;0;0;5.53999987617135;0.886035029483635;0;5.53999987617135;0;0;12.4399997219443;27.2328961748634;27.385;29.57;24.75;24.52;29.83;27.1041292442497;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
SPY190578;27/04/2019;0.697978126475475;0;4.70499989483506;0;0;5.53999987617135;0.888515861848775;0;5.53999987617135;0;0;12.4399997219443;27.2342896174863;27.385;29.57;24.75;24.52;29.83;27.1047097480832;27.21;29.5775;24.7125;23.71;30.44;34.898011525472;34.9034385681152;35.0372777938843;34.7247903823853;34.7175750732422;35.0476150512695;34.9349781916692;34.9236602783203;35.1558124542236;34.6987936019897;34.6052169799805;35.2491188049316;230.99155553182;214.882339477539;366.812791442871;135.749594116211;133.431228637695;401.478149414062;218.038389714559;200.853622436523;339.183253479004;127.456588363647;99.8528060913086;401.478149414062;8.08032571759998;8.06426353943654;8.09600292107998
