"code_spygen","station","latitude_start","longitude_start","date","mean_sss_1year","median_sss_1year","q95_sss_1year","q05_sss_1year","min_sss_1year","max_sss_1year","mean_sss_5year","median_sss_5year","q95_sss_5year","q05_sss_5year","min_sss_5year","max_sss_5year"
"SPY180582","malpelo_20m","3.9982","-81.56845","2018-03-14",32.4739683469137,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180583","malpelo_100m","3.99737","-81.56515","2018-03-14",32.4739683469137,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180584","malpelo_50m","4.00307","-81.5703","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180585","malpelo_100m","4.00307","-81.5703","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180586","malpelo_300m","4.00307","-81.5703","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180587","malpelo_200m","4.00307","-81.5703","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180588","malpelo_10m","4.00307","-81.5703","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180589","malpelo1","4.01142","-81.59661","2018-03-14",32.4093798001607,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180590","malpelo1","4.01142","-81.59661","2018-03-14",32.4093798001607,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180591","malpelo_600m","3.98735","-81.57326","2018-03-15",32.520723929772,32.3785934448242,33.2378639221191,31.8357429504395,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
