"code_spygen","station","latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
"SPY180628","menorca_7","39.848846","4.160777","2018-03-15",0.0940983585524755,0,0.409999990835786,0,0,0.409999990835786,0.516974347419081,0,6.1274998630397,0,0,6.78999984823167
"SPY180632","menorca_7","39.848846","4.160777","2018-03-15",0.0940983585524755,0,0.409999990835786,0,0,0.409999990835786,0.516974347419081,0,6.1274998630397,0,0,6.78999984823167
"SPY180610","mallorca_1","39.771142","3.405029","2018-03-18",0.364918024630332,0,1.58999996446073,0,0,1.58999996446073,0.617220787568064,0,6.14999986253677,0,0,7.02999984286726
"SPY180620","mallorca_1","39.771142","3.405029","2018-03-18",0.364918024630332,0,1.58999996446073,0,0,1.58999996446073,0.617220787568064,0,6.14999986253677,0,0,7.02999984286726
"SPY180614","mallorca_2","39.786777","3.323661","2018-03-18",0.350519117848348,0,1.52999996580184,0,0,1.52999996580184,0.566163670209706,0,5.50599987693129,0,0,6.37999985739589
"SPY180615","mallorca_2","39.786777","3.323661","2018-03-18",0.350519117848348,0,1.52999996580184,0,0,1.52999996580184,0.566163670209706,0,5.50599987693129,0,0,6.37999985739589
"SPY180619","mallorca_3","39.746475","3.468065","2018-03-18",0.364289609343832,0,1.58999996446073,0,0,1.58999996446073,0.650750198583329,0,6.60399985238908,0,0,7.49999983236194
"SPY180623","mallorca_3","39.746475","3.468065","2018-03-18",0.364289609343832,0,1.58999996446073,0,0,1.58999996446073,0.650750198583329,0,6.60399985238908,0,0,7.49999983236194
"SPY180609","mallorca_4","39.689585","3.474012","2018-03-18",0.358606549361568,0,1.55999996513128,0,0,1.55999996513128,0.667527691814461,0,6.85399984680114,0,0,7.75999982655048
"SPY180618","mallorca_4","39.688479","3.471091","2018-03-18",0.358606549361568,0,1.55999996513128,0,0,1.55999996513128,0.667527691814461,0,6.85399984680114,0,0,7.75999982655048
"SPY180928","banyuls18_1","42.349021","3.203946","2018-04-04",0.103278686216132,0,0.449999989941716,0,0,0.449999989941716,0.288613438927138,0,2.98999993316829,0,0,3.63999991863966
"SPY180929","banyuls18_1","42.349021","3.203946","2018-04-04",0.103278686216132,0,0.449999989941716,0,0,0.449999989941716,0.288613438927138,0,2.98999993316829,0,0,3.63999991863966
"SPY180926","banyuls18_2","42.401302","3.171352","2018-04-04",0,0,0,0,0,0,0.278151254287037,0,3.21999992802739,0,0,3.93999991193414
"SPY180931","banyuls18_2","42.401302","3.171352","2018-04-04",0,0,0,0,0,0,0.278151254287037,0,3.21999992802739,0,0,3.93999991193414
"SPY180927","banyuls18_3","42.460386","3.167352","2018-04-04",0,0,0,0,0,0,0.296478984969817,0,3.30999992601573,0,0,4.19999990612268
"SPY180930","banyuls18_3","42.460386","3.167352","2018-04-04",0,0,0,0,0,0,0.296478984969817,0,3.30999992601573,0,0,4.19999990612268
"SPY180933","banyuls18_4","42.517347","3.13962","2018-04-04",0.0344262287387106,0,0.149999996647239,0,0,0.149999996647239,0.344495790619247,0,3.48999992199242,0,0,4.72999989427626
"SPY180935","banyuls18_4","42.517347","3.13962","2018-04-04",0.0344262287387106,0,0.149999996647239,0,0,0.149999996647239,0.344495790619247,0,3.48999992199242,0,0,4.72999989427626
"SPY180936","banyuls18_5","42.570987","3.0496","2018-04-05",0.0826502713766662,0,0.359999991953373,0,0,0.359999991953373,0.37295549124398,0,3.57999991998076,0,0,4.92999988980591
"SPY180937","banyuls18_5","42.570987","3.0496","2018-04-05",0.0826502713766662,0,0.359999991953373,0,0,0.359999991953373,0.37295549124398,0,3.57999991998076,0,0,4.92999988980591
"SPY181147","calvi_1","42.58508","8.725903","2018-05-18",0.690819656690125,0,3.00999993272126,0,0,3.00999993272126,1.07221229370032,0,9.66049978407099,0,0,12.369999723509
"SPY181160","calvi_1","42.58508","8.725903","2018-05-18",0.690819656690125,0,3.00999993272126,0,0,3.00999993272126,1.07221229370032,0,9.66049978407099,0,0,12.369999723509
"SPY181150","calvi_1","42.577371","8.709377","2018-05-18",0.690819656690125,0,3.00999993272126,0,0,3.00999993272126,1.07221229370032,0,9.66049978407099,0,0,12.369999723509
"SPY181149","calvi_1","42.577371","8.709377","2018-05-18",0.690819656690125,0,3.00999993272126,0,0,3.00999993272126,1.07221229370032,0,9.66049978407099,0,0,12.369999723509
"SPY181152","calvi_2","42.584973","8.80077","2018-05-19",0.718551896507419,0,3.12999993003905,0,0,3.12999993003905,1.13052629052024,0,10.2579997707159,0,0,13.0999997071922
"SPY181154","calvi_2","42.584973","8.80077","2018-05-19",0.718551896507419,0,3.12999993003905,0,0,3.12999993003905,1.13052629052024,0,10.2579997707159,0,0,13.0999997071922
"SPY181158","calvi_2","42.592608","8.810375","2018-05-19",0.718551896507419,0,3.12999993003905,0,0,3.12999993003905,1.13052629052024,0,10.2579997707159,0,0,13.0999997071922
"SPY180932","calvi_2","42.592608","8.810375","2018-05-19",0.718551896507419,0,3.12999993003905,0,0,3.12999993003905,1.13052629052024,0,10.2579997707159,0,0,13.0999997071922
"SPY181157","calvi_3","42.607429","8.840922","2018-05-18",0.701584683771912,0,3.05999993160367,0,0,3.05999993160367,1.12720418874344,0,10.177999772504,0,0,13.1099997069687
"SPY181156","calvi_3","42.607429","8.840922","2018-05-18",0.701584683771912,0,3.05999993160367,0,0,3.05999993160367,1.12720418874344,0,10.177999772504,0,0,13.1099997069687
"SPY181148","calvi_3","42.609901","8.860081","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY181159","calvi_3","42.609901","8.860081","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY181146","calvi_4","42.629439","8.879176","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY180624","calvi_4","42.629439","8.879176","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY181155","calvi_4","42.628935","8.898822","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY181151","calvi_4","42.628935","8.898822","2018-05-18",0.69997266195002,0,3.04999993182719,0,0,3.04999993182719,1.130113426928,0,10.2614997706376,0,0,13.1499997060746
"SPY181713","carry_le_rouet_1","43.328101","5.169124","2018-06-04",0.243278683086887,0,1.05999997630715,0,0,1.05999997630715,0.569504383753399,0,5.08999988622963,0,0,6.30999985896051
"SPY181702","carry_le_rouet_1","43.328101","5.169124","2018-06-04",0.243278683086887,0,1.05999997630715,0,0,1.05999997630715,0.569504383753399,0,5.08999988622963,0,0,6.30999985896051
"SPY181705","carry_le_rouet_1","43.326564","5.162342","2018-06-04",0.243278683086887,0,1.05999997630715,0,0,1.05999997630715,0.569504383753399,0,5.08999988622963,0,0,6.30999985896051
"SPY181707","carry_le_rouet_1","43.326564","5.162342","2018-06-04",0.243278683086887,0,1.05999997630715,0,0,1.05999997630715,0.569504383753399,0,5.08999988622963,0,0,6.30999985896051
"SPY181709","carry_le_rouet_2","43.331557","5.243485","2018-06-04",0.195054640448932,0,0.849999981001019,0,0,0.849999981001019,0.500135880108062,0,4.77999989315867,0,0,5.61999987438321
"SPY181712","carry_le_rouet_2","43.331557","5.243485","2018-06-04",0.195054640448932,0,0.849999981001019,0,0,0.849999981001019,0.500135880108062,0,4.77999989315867,0,0,5.61999987438321
"SPY181714","carry_le_rouet_2","43.328215","5.228154","2018-06-04",0.195054640448932,0,0.849999981001019,0,0,0.849999981001019,0.500135880108062,0,4.77999989315867,0,0,5.61999987438321
"SPY181711","carry_le_rouet_2","43.328215","5.228154","2018-06-04",0.195054640448932,0,0.849999981001019,0,0,0.849999981001019,0.500135880108062,0,4.77999989315867,0,0,5.61999987438321
"SPY181710","carry_le_rouet_3","43.346751","5.27374","2018-06-04",0.195382509294063,0,0.849999981001019,0,0,0.849999981001019,0.47414067685217,0,4.71999989449978,0,0,5.53999987617135
"SPY181704","carry_le_rouet_3","43.346751","5.27374","2018-06-04",0.195382509294063,0,0.849999981001019,0,0,0.849999981001019,0.47414067685217,0,4.71999989449978,0,0,5.53999987617135
